category,botanical_name,doterra_name,in_matrix_A,in_eo_db
Insect Repellent,Mentha piperita,Menta,True,True
Insect Repellent,Cinnamomum verum,Canela,True,True
Purifying and Cleansing,Melaleuca alternifolia,Árbol de Té,True,True
Purifying and Cleansing,Citrus limon,Limón,True,True
Purifying and Cleansing,Origanum vulgare,Orégano,True,True
Purifying and Cleansing,Thuja plicata,,False,True
Purifying and Cleansing,Eucalyptus radiata,,False,True
Purifying and Cleansing,Eucalyptus globulus,,False,True
Purifying and Cleansing,Citrus sinensis,,False,False
Purifying and Cleansing,Thymus vulgaris,Tomillo,True,True
Purifying and Cleansing,Ocimum basilicum,Albahaca,True,True
Purifying and Cleansing,Boswellia serrata,Incienso,True,True
Purifying and Cleansing,Juniperus communis,Baya de Enebro,True,True
Hormonal Balance,Salvia sclarea,,False,True
Hormonal Balance,Pelargonium graveolens,Geranio,True,True
Hormonal Balance,Foeniculum vulgare,Hinojo,True,True
Hormonal Balance,Cananga odorata,Ylang Ylang,True,True
Hormonal Balance,Lavandula angustifolia,Lavanda,True,True
