Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
369	Tetrataenium rigens	seed	seed	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-386, RIMP
370	Semenovia thomsonii	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-387, RIMP
371	Semenovia thomsonii	aerial part	aerial part	Antifungal Agents	C0003308	D000935		Vol-12, P-388, RIMP
372	Homalomena aromatica	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-726, RIMP
373	Hyptis suaveolens	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		Vol-12, P-1038, RIMP
374	Inula cuspidata	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-13, P-139, RIMP
375	Inula racemosa	root	root	Anti-Bacterial Agents	C0279516	D000900		Vol-13, P-144, RIMP
376	Inula racemosa	root	root	Antifungal Agents	C0003308	D000935		Vol-13, P-145, RIMP
377	Inula racemosa	root	root	Antihelmintics	C0003158	D000871	XM4EC0	Vol-13, P-145, RIMP
378	Jasminum sambac	flower	flower	Anti-Bacterial Agents	C0279516	D000900		Vol-13, P-384, RIMP
379	Jatropha curcas	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-13, P-423, RIMP
