Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
188	Anaphalis nepalensis	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		https://pubmed.ncbi.nlm.nih.gov/19731610
189	Anaphalis triplinervis	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1007/s10600-019-02800-w
190	Anisomeles indica	flower	flower	Anti-Bacterial Agents	C0279516	D000900		https://pubmed.ncbi.nlm.nih.gov/22556867
191	Anisomeles indica	flower	flower	Antifungal Agents	C0003308	D000935		https://pubmed.ncbi.nlm.nih.gov/22556867
192	Anisomeles indica	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.5897/2013.2580
193	Anisomeles indica	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.5897/2013.2580
194	Agrimonia pilosa	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.7598/cst2018.1513
195	Chloroxylon swietenia	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/10412905.2013.782472
196	Chloroxylon swietenia	leaf	leaf	Cytotoxin	C0010868	D003603		https://doi.org/10.1080/10412905.2013.782472
197	Gymnema sylvestre	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/10412905.2011.9700451
198	Gymnema sylvestre	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2011.9700451
199	Inula cappa	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2015.1090935
200	Limnophila repens	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.3109/13880209109082868
201	Limnophila repens	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.3109/13880209109082868
202	Limnophila repens	aerial part	aerial part	Antihelmintics	C0003158	D000871	XM4EC0	https://doi.org/10.3109/13880209109082868
203	Limnophila repens	aerial part	aerial part	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.3109/13880209109082868
204	Limnophila repens	aerial part	aerial part	wound healing activity				https://doi.org/10.3109/13880209109082868
205	Heptapleurum stellatum	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/10412905.2008.9699428
206	Ainsliaea aptera	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2021.1951361
207	Ainsliaea aptera	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2021.1951361
208	Scutellaria repens	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2013.782474
209	Pittosporum viridulum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699338
210	Pittosporum viridulum	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699338
211	Platostoma hispidum	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2021.2013324
212	Platostoma hispidum	aerial part	aerial part	Cytotoxin	C0010868	D003603		https://doi.org/10.1080/0972060X.2021.2013324
